Japanese,Prompt
女の子1人,"1girl"
男の子1人,"1boy"
女の子2人,"2girls"
男の子2人,"2boys"
男女カップル,"1girl 1boy, couple"
女性,"woman"
男性,"man"
猫耳の少女,"cat ears girl"
エルフの少女,"elf girl"
ちび女の子,"chibi girl"
メイド,"maid"
美少女,"beautiful girl"
アイドル,"idol"
女子学生,"schoolgirl"
女子大生,"college student"
巫女,"miko"
ナース,"nurse"
女騎士,"female knight"
魔法少女,"magical girl"
ギャル,"gyaru"
ツンデレ少女,"tsundere girl"
お姉さん,"onee-san"
お嬢様,"ojou-sama"
男の娘,"otokonoko"
悪魔の少女 / デーモンガール,"demon girl"
天使 / エンジェル,"angel"
狐娘 / フォックスガール,"fox girl"
バニーガール,"bunny girl"
ヴァルキリー / 戦乙女,"valkyrie"
シスター / 修道女,"nun"
カウガール,"cowgirl"
クノイチ / 女忍者,"kunoichi"
人魚 / マーメイド,"mermaid"
ゴシックガール,"gothic girl"
