Japanese,Prompt
笑顔,"smile"
微睡み/穏やかな表情,"gentle smile"
爆笑,"laughing"
怒り,"angry"
泣き顔,"crying"
照れ/赤面,"blushing"
ドヤ顔,"smug"
驚き,"surprised"
ジト目,"jitome"
ウィンク,"wink"
悲しい顔,"sad"
真剣な表情,"serious look"
無表情,"expressionless"
悪巧み/ニヤリ,"grin"
あくび,"yawning"
ドヤ笑顔,"smug smile"
困り顔,"troubled face"
ジト目笑顔,"jitome smile"
ジト目怒り,"jitome angry"
泣き笑い,"crying smile"
キス顔,"kiss face"
ウインク笑顔,"wink smile"
目を閉じる,"closed eyes"
拗ねる / ぷくー顔,"pouting"
照れ隠し / ツンツン顔,"tsundere expression"
誘惑するような表情,"seductive smile"
ドヤ顔（自信満々）,"confident smile"
泣き叫ぶ,"screaming"
狂気を感じる笑顔,"crazy smile"
恍惚とした表情,"ecstatic expression"
怯える / 怖がる,"scared"
退屈そうな顔,"bored"
ウインク（お茶目）,"playful wink"
