Japanese,Prompt
ロングヘア,"long hair"
ショートヘア,"short hair"
ツインテール,"twintails"
ポニーテール,"ponytail"
ボブカット,"bob cut"
お団子頭,"hair bun"
ブレイド/三つ編み,"braided hair"
金髪,"blonde hair"
黒髪,"black hair"
茶髪,"brown hair"
銀髪,"silver hair"
白髪,"white hair"
青髪,"blue hair"
ピンク髪,"pink hair"
赤髪,"red hair"
緑髪,"green hair"
紫髪,"purple hair"
インナーカラー,"inner color"
グラデーションヘア,"gradient hair"
ストレートヘア,"straight hair"
ウェーブヘア,"wavy hair"
ショートボブ,"short bob"
サイドテール,"side tail"
アホ毛,"ahoge"
セミロングヘア,"medium hair"
ベリーショートヘア,"very short hair"
お姫様カット,"hime cut"
ハーフアップ,"half updo"
サイドポニーテール,"side ponytail"
乱れ髪 / ボサボサ髪,"messy hair"
グラデーションヘア,"gradient hair"
インナーカラーヘア,"inner color hair"
濡れた髪,"wet hair"
縦ロール / ドリルヘア,"drill hair"
