Japanese,Prompt
制服/セーラー服,"school uniform, sailor uniform"
Tシャツ,"T-shirt"
ジーンズ/ジーパン,"jeans"
パーカー,"hoodie"
ビジネススーツ,"business suit"
カジュアルウェア,"casual clothes"
セーター,"sweater"
コート,"coat"
パジャマ,"pyjamas"
スポーツウェア,"sportswear"
夏服,"summer clothes"
冬服,"winter clothes"
ロングスカート,"long skirt"
ミニスカート,"miniskirt"
ブレザー制服,"blazer school uniform"
カーディガン,"cardigan"
オフショルダートップス,"off-shoulder top"
タンクトップ,"tank top"
ショートパンツ,"short shorts"
ワンピース,"one-piece dress"
トレンチコート,"trench coat"
ダウンジャケット,"down jacket"
オーバーサイズシャツ,"oversized shirt"
レザージャケット,"leather jacket"
タートルネックセーター,"turtleneck sweater"
オフショルダードレス,"off-shoulder dress"
キャミソール,"camisole"
チアリーダー衣装,"cheerleader uniform"
テニスウェア,"tennis uniform"
ジムウェア / スポーツウェア,"gym uniform"
ナイトウェア / ネグリジェ,"negligee"
レインコート,"raincoat"
