Japanese,Prompt
教室,"classroom"
砂浜/ビーチ,"beach"
森林/森,"forest"
都会の街並み,"city street"
夜空と星,"night sky, stars"
カフェ,"cafe"
図書館,"library"
ファンタジーの世界,"fantasy world"
和室,"japanese style room"
廃墟,"ruins"
公園,"park"
青空と雲,"blue sky, clouds"
部屋/寝室,"bedroom"
宇宙,"outer space"
夕暮れの街,"sunset street"
お城/宮殿,"castle, palace"
山,"mountains"
雪景色,"snow scene"
ネオン輝くサイバーパンク街,"cyberpunk city lights, neon"
水中,"underwater"
花畑,"flower field"
洋館,"western-style mansion"
ファンタジーの街,"fantasy city"
スチームパンクの街,"steampunk town"
サイバーパンクの路地裏,"cyberpunk back alley"
魔法の森,"magic forest"
天空の城,"castle in the sky"
温泉,"hot spring"
満月の夜,"full moon night"
大聖堂,"cathedral"
日本庭園,"japanese garden"
サイバーパンクの実験室,"futuristic laboratory"
