Japanese,Prompt
アヘ顔,"ahegao"
舌出し,"tongue out"
恍惚とした表情,"ecstasy"
羞恥/恥ずかしそうな顔,"embarrassed"
淫らな笑顔,"lewd smile"
息が荒い,"heavy breathing"
キス待ちの顔,"waiting for kiss"
よだれ/涎,"drooling"
蕩けた目,"dilated pupils, dreamy eyes"
トランス状態,"trance"
媚びるような目,"seductive look"
悶える表情,"pained smile"
喘ぎ顔,"orgasm face"
ハート目,"heart-shaped pupils"
涙目の絶頂顔,"tearing up orgasm"
涎を垂らす表情,"drooling face"
催眠にかかった目,"hypnotized eyes"
苦痛と快楽が混ざった表情,"pleasurable pain"
トランス状態の笑顔,"trance smile"
白目,"rolling eyes back"
上目遣い/目を上に逸らす,"looking up, rolled up eyes"
涙目,"tearing up, crying"
涎を飲む,"swallowing saliva"
絶頂顔,"climax face"
嫌悪感,"disgusted"
恐怖,"scared, fearful"
嘲笑/ニヤリ,"smirk, sneer"
舌なめずり,"licking lips"
懇願する表情,"pleading face"
