Japanese,Prompt
眼鏡,"glasses"
リボン,"ribbon"
チョーカー,"choker"
ネックレス,"necklace"
イヤリング/ピアス,"earrings"
ヘアピン,"hairpin"
帽子,"hat"
王冠/ティアラ,"crown"
指輪,"ring"
ネクタイ,"necktie"
マフラー,"scarf"
手袋,"gloves"
ヘッドホン,"headphones"
腕時計,"wrist watch"
ベール,"veil"
ベルト,"belt"
アンクレット,"anklet"
ブレスレット,"bracelet"
カチューシャ,"headband"
狐のお面,"fox mask"
ガスマスク,"gas mask"
ヘアバンド,"hair band"
猫耳ヘッドホン,"cat ear headphones"
丸眼鏡,"round glasses"
サングラス,"sunglasses"
レースのチョーカー,"lace choker"
タトゥー,"tattoo"
コルセット,"corset"
ガーターベルト,"garter belt"
フード付きマント,"hooded cape"
妖精の羽,"fairy wings"
ヘアリボン,"hair ribbon"
