Japanese,Prompt
股を開く,"legs spread"
前屈み/お尻を向ける,"bent over, presenting"
M字開脚,"m-leg split"
四つん這い,"all fours"
寝そべって股を開く,"lying on back, legs spread"
胸を強調する,"breast squeeze"
お尻を強調する,"ass focus"
脚を組む,"legs crossed"
股間のクローズアップ,"crotch close-up"
胸のクローズアップ,"breast close-up"
腰を振る,"hip shake"
自ら服をめくりあげる,"shirt lift, skirt lift"
バックショット/後ろから,"from behind, backshot"
股を開いて見せる,"spreading crotch"
胸を押し付ける,"breast press"
パイズリポーズ,"paizuri pose"
フェラポーズ,"fellatio pose"
お尻を突き出す四つん這い,"all fours, ass up"
仰向け,"lying on back, supine"
うつ伏せ,"lying on stomach, prone"
膝立ち,"kneeling"
足を広げて座る,"sitting with legs spread"
足を上げる/片足立ち,"leg lift, standing on one leg"
パンチラ/下着が見える,"upskirt, visible underwear"
胸を寄せる,"cleavage reveal, pushing breasts together"
パンツを下ろす,"pulling down panties, half-pulled down panties"
指を咥える,"finger in mouth"
カメラ目線で見せつける,"presenting to viewer, looking at viewer"
両手を後ろに組む/縛られたポーズ,"hands tied behind back, hands behind back"
